[2026-04-01 15:19:13.344362] reason=SESSION_LOADED; detail=pid=21684; last_action=MODULE_IMPORT
[2026-04-01 15:19:14.538274] reason=APP_START; detail=pid=21684; last_action=GUI_INIT
[2026-04-01 15:37:01.363788] reason=MAINWINDOW_CLOSE_EVENT; detail=; last_action=CLOSE_EVENT
[2026-04-01 15:37:01.364788] reason=STOP_ALL_THREADS_CALLED; detail=; last_action=CLOSE_EVENT
[2026-04-01 15:37:01.390300] reason=APP_ABOUT_TO_QUIT; detail=; last_action=CLOSE_EVENT
[2026-04-01 15:37:07.880075] reason=SESSION_LOADED; detail=pid=38532; last_action=MODULE_IMPORT
[2026-04-01 15:37:09.016703] reason=APP_START; detail=pid=38532; last_action=GUI_INIT
[2026-04-01 15:42:42.268454] reason=MAINWINDOW_CLOSE_EVENT; detail=; last_action=CLOSE_EVENT
[2026-04-01 15:42:42.269453] reason=STOP_ALL_THREADS_CALLED; detail=; last_action=CLOSE_EVENT
[2026-04-01 15:42:42.304457] reason=APP_ABOUT_TO_QUIT; detail=; last_action=CLOSE_EVENT
[2026-04-01 15:42:45.962761] reason=SESSION_LOADED; detail=pid=29016; last_action=MODULE_IMPORT
[2026-04-01 15:42:47.012416] reason=APP_START; detail=pid=29016; last_action=GUI_INIT
[2026-04-01 16:19:45.410805] reason=MAINWINDOW_CLOSE_EVENT; detail=; last_action=CLOSE_EVENT
[2026-04-01 16:19:45.411805] reason=STOP_ALL_THREADS_CALLED; detail=; last_action=CLOSE_EVENT
[2026-04-01 16:19:45.442542] reason=APP_ABOUT_TO_QUIT; detail=; last_action=CLOSE_EVENT
[2026-04-01 16:19:52.271983] reason=SESSION_LOADED; detail=pid=17596; last_action=MODULE_IMPORT
[2026-04-01 16:19:53.353957] reason=APP_START; detail=pid=17596; last_action=GUI_INIT
[2026-04-01 16:22:47.290498] reason=MAINWINDOW_CLOSE_EVENT; detail=; last_action=CLOSE_EVENT
[2026-04-01 16:22:47.291498] reason=STOP_ALL_THREADS_CALLED; detail=; last_action=CLOSE_EVENT
[2026-04-01 16:22:47.318500] reason=APP_ABOUT_TO_QUIT; detail=; last_action=CLOSE_EVENT
[2026-04-01 16:22:58.554272] reason=SESSION_LOADED; detail=pid=36444; last_action=MODULE_IMPORT
[2026-04-01 16:22:59.695860] reason=APP_START; detail=pid=36444; last_action=GUI_INIT
[2026-04-01 16:26:01.867853] reason=MAINWINDOW_CLOSE_EVENT; detail=; last_action=CLOSE_EVENT
[2026-04-01 16:26:01.868854] reason=STOP_ALL_THREADS_CALLED; detail=; last_action=CLOSE_EVENT
[2026-04-01 16:26:01.897764] reason=APP_ABOUT_TO_QUIT; detail=; last_action=CLOSE_EVENT
[2026-04-01 16:26:09.568430] reason=SESSION_LOADED; detail=pid=42896; last_action=MODULE_IMPORT
[2026-04-01 16:26:10.635992] reason=APP_START; detail=pid=42896; last_action=GUI_INIT
[2026-04-01 16:50:27.580698] reason=SESSION_LOADED; detail=pid=43232; last_action=MODULE_IMPORT
[2026-04-01 16:50:29.007597] reason=APP_START; detail=pid=43232; last_action=GUI_INIT
[2026-04-01 17:08:28.381068] reason=MAINWINDOW_CLOSE_EVENT; detail=; last_action=CLOSE_EVENT
[2026-04-01 17:08:28.381068] reason=STOP_ALL_THREADS_CALLED; detail=; last_action=CLOSE_EVENT
[2026-04-01 17:08:28.407849] reason=APP_ABOUT_TO_QUIT; detail=; last_action=CLOSE_EVENT
[2026-04-01 17:08:35.083845] reason=SESSION_LOADED; detail=pid=6908; last_action=MODULE_IMPORT
[2026-04-01 17:08:36.197104] reason=APP_START; detail=pid=6908; last_action=GUI_INIT
[2026-04-01 23:21:01.361303] reason=MAINWINDOW_CLOSE_EVENT; detail=; last_action=CLOSE_EVENT
[2026-04-01 23:21:01.362303] reason=STOP_ALL_THREADS_CALLED; detail=; last_action=CLOSE_EVENT
[2026-04-01 23:21:01.378303] reason=APP_ABOUT_TO_QUIT; detail=; last_action=CLOSE_EVENT
[2026-04-01 23:21:10.180663] reason=SESSION_LOADED; detail=pid=42872; last_action=MODULE_IMPORT
[2026-04-01 23:21:11.747613] reason=APP_START; detail=pid=42872; last_action=GUI_INIT
[2026-04-02 20:55:32.422917] reason=MAINWINDOW_CLOSE_EVENT; detail=; last_action=CLOSE_EVENT
[2026-04-02 20:55:32.424918] reason=STOP_ALL_THREADS_CALLED; detail=; last_action=CLOSE_EVENT
[2026-04-02 20:55:42.097157] reason=MAINWINDOW_CLOSE_EVENT; detail=; last_action=CLOSE_EVENT
[2026-04-02 20:55:42.097157] reason=STOP_ALL_THREADS_CALLED; detail=; last_action=CLOSE_EVENT
